id,tipo_placa,placa,tipo_contrato,carroceria_id,autobusero_id,activo,observaciones
1,HB,3360,1,13,620,1,
2,HB,3358,1,13,620,1,
3,HB,3361,2,10,620,0,
4,SJB,11285,0,20,644,1,
5,SJB,11067,1,23,644,1,
6,SJB,12146,0,23,644,1,
7,SJB,12245,1,23,618,1,
8,SJB,11064,1,20,618,1,
9,SJB,11063,0,20,618,1,
10,SJB,12246,0,23,618,1,
11,SJB,11062,1,20,618,1,
12,SJB,10452,1,12,627,1,
13,SJB,10492,1,12,627,1,
14,SJB,11553,1,12,627,1,
15,SJB,11555,1,12,627,1,
16,GB,2759,1,40,635,1,
17,SJB,11750,1,12,617,1,
18,CB,2630,0,13,629,1,
19,CB,2626,0,21,629,1,
20,CB,2627,0,21,629,1,
21,CB,2628,0,21,629,1,
22,CB,2629,0,21,629,1,
23,CB,2625,0,21,629,1,
24,CB,2390,0,13,629,1,
25,CB,2354,1,13,629,1,
26,CB,2125,0,12,629,1,
27,CB,2124,1,12,629,1,
28,CB,2673,0,25,629,1,
29,CB,2672,0,25,629,1,
30,CB,2679,1,25,629,1,
31,CB,2126,0,12,629,1,
32,CB,2127,1,12,629,1,
33,SJB,12409,1,23,633,1,
34,SJB,12570,0,23,633,1,
35,SJB,12574,1,23,633,1,
36,SJB,11758,0,23,633,1,
37,SJB,11708,0,12,633,0,No pertenece al contrato establecido.  
38,SJB,11752,0,23,633,1,
39,CB,2154,1,22,629,1,
40,CB,2388,0,52,642,1,
41,CB,2521,0,23,642,1,
42,CB,2522,0,23,642,1,
43,CB,2520,0,23,642,1,
44,CB,2519,0,23,642,1,
45,CB,2561,1,13,642,1,
46,SJB,12376,1,22,637,1,
47,SJB,12040,1,22,637,1,
48,SJB,12993,0,22,637,1,
49,SJB,12377,0,22,637,1,
50,SJB,13524,0,22,637,1,
51,SJB,13525,0,22,637,1,
52,LB,1249,0,1,637,1,
53,LB,1277,2,9,637,1,
54,AB,5884,1,9,635,1,
55,CB,2384,2,23,631,1,
56,CB,1954,2,12,631,1,
